a,Mean Deviation,Variance
0.0001,0.0032334276495928774,9.247496921602973e-06
0.00010102920021214988,0.0032524489030937515,1.0790256954823321e-05
0.00010206899295506665,0.0032595042452932678,8.974382440586365e-06
0.00010311948724709944,0.002229267729146859,5.321867997681706e-06
0.00010418079322861446,0.00268097985895727,5.815141512225213e-06
0.00010525302217354278,0.003998284912219911,1.3455481607259389e-05
0.00010633628650104704,0.003668960838167927,1.030299973371133e-05
0.00010743069978730812,0.0035259584099578026,1.1155683794285454e-05
0.00010853637677743319,0.0032553007107729995,7.970127821200235e-06
0.00010965343339748633,0.003553397958996052,1.0681824692604862e-05
0.00011078198676664289,0.003664372920375617,1.170776610536847e-05
0.00011192215520946903,0.003602506803050204,1.1768537251517344e-05
0.0001130740582683276,0.0029029088609834773,8.217289435785632e-06
0.00011423781671591171,0.0032633260857526983,8.159501353369226e-06
0.00011541355256790726,0.003702988252817781,1.2644036863490958e-05
0.00011660138909578599,0.0036685794928259787,1.2658509671224593e-05
0.00011780145083972953,0.0029023570508680857,6.4455375222123926e-06
0.00011901386362168765,0.003949687078397395,1.7754747781422842e-05
0.00012023875455856984,0.0032282607891864503,7.885900148837365e-06
0.00012147625207557301,0.003035349733357423,5.76549516056177e-06
0.0001227264859196465,0.003724703369081242,8.561562749200568e-06
0.00012398958717309562,0.003292972680222594,8.958838523104592e-06
0.0001252656882673249,0.003547870612679025,1.1486518832590638e-05
0.00012655492299672318,0.0029658123018104963,7.214139037215898e-06
0.0001278574265326916,0.0035204907592168164,9.863941465150443e-06
0.00012917333543781541,0.003363175585944958,9.437425239874722e-06
0.00013050278768018248,0.003660494867844483,1.2587007781049258e-05
0.00013184592264784843,0.0046134374313800105,1.837915609531237e-05
0.00013320288116345106,0.002954580272838511,7.124354237715719e-06
0.00013457380549897503,0.0033541976263408717,1.0322154145516947e-05
0.00013595883939066867,0.003652389316774853,9.350775912689036e-06
0.00013735812805411394,0.0034244489200178758,9.242436562132314e-06
0.00013877181819945197,0.0041520286725907785,1.565299673531202e-05
0.00014020005804676498,0.003764055025410669,1.0879229131569872e-05
0.00014164299734161653,0.0034313147086103848,9.819057536709194e-06
0.0001431007873707519,0.004126337353105304,1.2226181784150007e-05
0.00014457358097795983,0.0034476928086700446,1.1281275920909262e-05
0.00014606153258009765,0.003151622099695245,9.231608911323993e-06
0.0001475647981832814,0.004597391997698618,1.6475363511064454e-05
0.00014908353539924227,0.003767188434887644,1.5079707048607395e-05
0.0001506179034618518,0.0041061706598600626,1.7273531397908538e-05
0.0001521680632438169,0.0038403001601456225,1.302450617652808e-05
0.00015373417727354677,0.004145196327171921,1.4699126879115127e-05
0.000155316409752193,0.004087527393277347,1.6815011336164403e-05
0.00015691492657086612,0.0038849239464972653,1.291820322465304e-05
0.00015852989532802832,0.003997265930998555,1.394356326209824e-05
0.00016016148534706535,0.004013579132779678,1.15795252204406e-05
0.00016180986769403976,0.004600868364590318,1.7202148827401902e-05
0.00016347521519562624,0.003970358147790186,1.1681489030105851e-05
0.00016515770245723212,0.0044681079342006255,1.3757588541750993e-05
0.0001668575058813038,0.0045239012471084954,1.565395373535882e-05
0.0001685748036858222,0.00452180642042664,1.6964321872501683e-05
0.0001703097759229879,0.003767737758196771,1.353187330931655e-05
0.00017206260449809926,0.003397965425696003,9.352300210213191e-06
0.00017383347318862432,0.003370785342949697,1.1194930095219782e-05
0.00017562256766346913,0.004037049503473662,1.3988944042412642e-05
0.00017743007550244464,0.0031393682754278047,9.559308849265582e-06
0.0001792561862159335,0.00519613514100274,2.1958444797544356e-05
0.00018110109126475967,0.00490477429319491,2.301476404789234e-05
0.0001829649840802623,0.004439152332855783,1.3543745201126696e-05
0.00018484806008457636,0.004639439263059163,1.5378543335343037e-05
0.00018675051671112174,0.00428881050248116,1.8060253341111252e-05
0.0001886725534253036,0.0044025748897772035,1.683913034417508e-05
0.00019061437174542543,0.0037054498549059837,1.1821204096269869e-05
0.0001925761752638175,0.004546669667239501,2.278650195336464e-05
0.00019455816966818283,0.004116730259155738,1.5987171307276196e-05
0.0001965605627631627,0.004657487827351228,1.8938211344451228e-05
0.00019858356449212417,0.00449651262953456,1.4522124704524465e-05
0.0002006273869591719,0.0043914385642933864,1.7407301400379496e-05
0.00020269224445138646,0.004927319910614289,2.016252064984207e-05
0.00020477835346129148,0.004549217874394106,1.8314581274040553e-05
0.0002068859327095521,0.004932106980014671,2.173433927654822e-05
0.0002090152031679071,0.0037619148782771406,9.081984787633512e-06
0.0002111663880823369,0.004693405411633159,1.7831930182713396e-05
0.00021333971299646953,0.0038848195909710307,1.4309890815148658e-05
0.00021553540577522913,0.0051309197358201586,2.8109779370744307e-05
0.0002177536966287259,0.00477993659465128,1.987295090971254e-05
0.00021999481813639296,0.004513573920749569,1.4681274545709223e-05
0.00022225900527137146,0.005054159080994229,2.149470196594097e-05
0.00022454649542514663,0.004726864270443826,1.9263687468287902e-05
0.00022685752843243733,0.004095243862671528,1.3503194927462805e-05
0.00022919234659634196,0.005864549870156733,3.4731066412695456e-05
0.0002315511947137428,0.005266295976073291,2.140862210924796e-05
0.00023393432010097222,0.004690526556859573,2.378616150606444e-05
0.0002363419726197428,0.004570122672393088,1.892810178419749e-05
0.0002387744047033444,0.0041750905448875485,1.4784797986643753e-05
0.00024123187138311083,0.0048467988576743155,1.9557790899107574e-05
0.00024371463031515894,0.00531841432331648,2.1989867846190926e-05
0.00024622294180740283,0.006104415724383739,3.212234309297825e-05
0.0002487570688468463,0.005071301704480846,2.6767009856069055e-05
0.0002513172771271559,0.005566367681465216,2.5676905596168485e-05
0.00025390383507651785,0.004686286226909452,1.8445420032669305e-05
0.00025651701388578206,0.00440250850515322,1.715538102854553e-05
0.00025915708753689504,0.004693432867299569,1.8113892099181098e-05
0.0002618243328316262,0.004351691923746545,1.4118289153567324e-05
0.00026451902942058934,0.004153902892186081,1.1036764499650716e-05
0.00026724145983256285,0.00548324461803432,3.054704291794893e-05
0.000269991909504112,0.004999062556586117,2.5251089450476983e-05
0.0002727706668095161,0.006204343338667719,3.681012773411878e-05
0.0002755780230910023,0.004902542203462541,1.9215639638002793e-05
0.00027841427268929334,0.005614332308529707,2.6644246826177557e-05
0.00028127971297446706,0.005887080521317257,2.2601674208073135e-05
0.00028417464437713487,0.004801742950435163,2.065999868392882e-05
0.0002870993704199405,0.004969627459260171,1.6998221143023736e-05
0.0002900541977493835,0.006467990739168168,3.211552001805129e-05
0.0002930394361679698,0.0056012882662515315,2.1714332862880755e-05
0.00029605539866669334,0.005737243450298395,2.968475600248461e-05
0.00029910240145785213,0.005479233628282057,2.294670749690276e-05
0.0003021807640082017,0.005555446402248227,2.0380252111640807e-05
0.00030529080907245026,0.005340985125197659,2.7223147072887536e-05
0.00030843286272709796,0.006064115199148826,2.9268661264814178e-05
0.00031160725440462523,0.004429255946847452,1.7633959168318232e-05
0.000314814316928032,0.0061151712280751265,3.347174401427984e-05
0.00031805438654573353,0.0046642197013757,1.831204257650486e-05
0.00032132780296681424,0.005502356345270259,2.734932976341964e-05
0.0003246349093966452,0.00577537518570952,2.867778909174265e-05
0.00032797605257286805,0.00485650910205327,2.3135831403464372e-05
0.00033135158280174883,0.006306252258007075,3.684635304604895e-05
0.0003347618539949064,0.006557204176360723,3.608947794024399e-05
0.0003382072237064188,0.005890921286538749,2.646382858667904e-05
0.0003416880531703115,0.005946784130884714,3.3259567132945615e-05
0.00034520470733843115,0.007112544879034942,5.852985059785723e-05
0.00034875755491870967,0.005407522980030441,2.357166545702292e-05
0.00035234696841382175,0.008006877163184968,4.513332480271447e-05
0.00035597332416024047,0.005741117379674833,2.1854226076677545e-05
0.00035963700236769464,0.006739909617461883,5.160853051829829e-05
0.0003633383871590324,0.006681853893222363,2.8554399937217754e-05
0.0003670778666104951,0.005205355677183596,2.1592304105498232e-05
0.0003708558327924056,0.006306129298134141,3.297839569746498e-05
0.0003746726818102752,0.00653406847313115,3.512655411169739e-05
0.00037852881384633423,0.0057742269391910525,2.558083825501966e-05
0.0003824246332014891,0.00574797573163324,3.037251259800793e-05
0.0003863605483377126,0.0062124490885527624,2.980725436557308e-05
0.00039033697192086776,0.006536268104681941,3.709076482516164e-05
0.00039435432086397674,0.006168572861265687,2.8299349946620884e-05
0.00039841301637093105,0.0060439183615233925,2.7032926722701603e-05
0.00040251348398065336,0.0061758962219110565,3.344363516970317e-05
0.00040665615361171415,0.006853415930466876,4.381004150456127e-05
0.00041084145960740645,0.005750017738631189,2.6638620412525707e-05
0.00041506984078128553,0.005605939813546345,2.7742707351343948e-05
0.00041934174046317666,0.006991746330479554,3.2450939665554835e-05
0.00042365760654565666,0.00706775032869139,3.5787126795788524e-05
0.00042801789153101366,0.006158011400487621,3.6710413326904535e-05
0.0004324230525786903,0.007692836051271165,7.102938850992371e-05
0.00043687355155321516,0.00744910369233598,5.0948158496306826e-05
0.00044136985507262755,0.0078106115124521175,6.001855173948545e-05
0.00044591243455740067,0.007240151448005624,3.958711577347204e-05
0.00045050176627986813,0.006235766449384344,2.8517064063277068e-05
0.00045513833141415947,0.006204032765861507,2.812972469066791e-05
0.00045982261608664945,0.006675146099790211,3.5293354374788034e-05
0.00046455511142692635,0.0066577509048143845,4.0385427620034895e-05
0.0004693363136192854,0.007354273301316543,4.9703933031835266e-05
0.0004741667239547515,0.006745652895612365,4.555103662599676e-05
0.0004790468488836384,0.00707533529038748,4.397910235417777e-05
0.00048397720006864613,0.006145463567613485,3.510877723985541e-05
0.0004889582944385097,0.008103622601311134,4.515512186455283e-05
0.0004939906542421953,0.00771289614345881,5.922348212901329e-05
0.0004990748071036564,0.007079239397583783,4.100313939629071e-05
0.0005042112860771539,0.006944289987367407,3.737322785118323e-05
0.0005094006297031436,0.007930591952961818,5.629717513692514e-05
0.0005146433820647412,0.007359849635252722,4.5483620489089937e-05
0.0005199400928447668,0.00778844291265825,4.545222978872243e-05
0.0005252913173833774,0.006814094566780617,4.409739121045938e-05
0.000530697616736292,0.009420050091899659,6.40219218242962e-05
0.0005361595577336164,0.005983351101384352,3.0184999501325984e-05
0.0005416777130392725,0.0068695361937173485,4.406284314564405e-05
0.0005472526612110413,0.008442935420249651,5.533087675961497e-05
0.0005528849867612213,0.007534501454443988,4.2667345076432316e-05
0.0005585752802179125,0.008013006319408773,5.8970625171217366e-05
0.0005643241381869321,0.00834466520275375,5.2370996264190206e-05
0.0005701321634143649,0.007055980783250985,3.5790284965594674e-05
0.0005759999648497603,0.008691714182570457,6.606381922990044e-05
0.0005819281577099772,0.008396351405312133,6.702139266044174e-05
0.0005879173635436883,0.008834963465890567,5.094569022970078e-05
0.0005939682102965459,0.007746572126746957,5.3526806621036636e-05
0.0006000813323770208,0.00674236222668185,3.7821532532984685e-05
0.0006062573707229169,0.006468483463125923,3.170482229578778e-05
0.0006124969728685714,0.007202268136619247,4.036407058705071e-05
0.0006188007930127464,0.007664464363978558,3.9638989708243734e-05
0.0006251694920872186,0.00954549001992565,7.423739981003325e-05
0.0006316037378260766,0.008731861754415949,6.477867396100955e-05
0.0006381042048357291,0.008097449029180885,4.945305578944422e-05
0.0006446715746656358,0.007709025218356159,4.861704912964019e-05
0.0006513065358797644,0.007928933930114391,5.3759693743411186e-05
