a,Mean Deviation,Variance
0.0001,0.003608940564555404,2.033750326733891e-05
0.00010102920021214988,0.003958625125327138,1.1548195063659224e-05
0.00010206899295506665,0.003987265556148305,2.1330500163440125e-05
0.00010311948724709944,0.002847760229975921,8.346379678109039e-06
0.00010418079322861446,0.004200108031881624,2.0615508572375397e-05
0.00010525302217354278,0.004806505806427451,1.9944725028025732e-05
0.00010633628650104704,0.0035364586957524115,1.18577169690225e-05
0.00010743069978730812,0.0042362439700311125,1.920767253859379e-05
0.00010853637677743319,0.0035293539372956047,1.907779154639857e-05
0.00010965343339748633,0.0026794101304612023,7.423399368604085e-06
0.00011078198676664289,0.0030178252205456547,1.4712386381706775e-05
0.00011192215520946903,0.004054949027505241,1.8918259836321507e-05
0.0001130740582683276,0.002960213332766801,9.437901814566667e-06
0.00011423781671591171,0.004684997268691445,2.9351108251281773e-05
0.00011541355256790726,0.003075914919695252,1.3185466209664783e-05
0.00011660138909578599,0.0030824213583682636,1.1009300704879926e-05
0.00011780145083972953,0.003732933242595483,1.2278402434386991e-05
0.00011901386362168765,0.0045374261981103335,2.7191314886963395e-05
0.00012023875455856984,0.003333003342714738,1.3339939260379289e-05
0.00012147625207557301,0.0042382089891515136,2.312675318644195e-05
0.0001227264859196465,0.004263473676653715,2.2253538785614622e-05
0.00012398958717309562,0.0042984806350400894,2.5196435713566983e-05
0.0001252656882673249,0.004584647434322584,1.8341753788305144e-05
0.00012655492299672318,0.0043199327509965135,2.0104965908411217e-05
0.0001278574265326916,0.003393834258544065,1.0970946098441711e-05
0.00012917333543781541,0.0036441471834591887,2.0880258671296307e-05
0.00013050278768018248,0.0038075656773634402,1.1415707739465972e-05
0.00013184592264784843,0.0030932577590050917,8.588464051231652e-06
0.00013320288116345106,0.003212530377359164,1.5059900328783651e-05
0.00013457380549897503,0.003484254404465609,1.6907744542782573e-05
0.00013595883939066867,0.0033271061639812112,1.003245430243794e-05
0.00013735812805411394,0.0032597345187035756,9.410581087261301e-06
0.00013877181819945197,0.0034405058097097207,1.4961706416102005e-05
0.00014020005804676498,0.0038896941487026803,1.435744711203377e-05
0.00014164299734161653,0.004003128079368714,1.4026257412404415e-05
0.0001431007873707519,0.004843618731132989,2.2996394426319034e-05
0.00014457358097795983,0.0046675892029215136,2.345375616609812e-05
0.00014606153258009765,0.0042837980238203755,1.9631191787558486e-05
0.0001475647981832814,0.003430550334291825,1.0017879048643063e-05
0.00014908353539924227,0.003979250580117586,1.732873928510012e-05
0.0001506179034618518,0.004813273369389882,2.4596649835517716e-05
0.0001521680632438169,0.005134320347140228,2.3220338956782145e-05
0.00015373417727354677,0.004175710620614202,2.1696710487856564e-05
0.000155316409752193,0.005177884702820544,3.510450605600617e-05
0.00015691492657086612,0.004283468058022874,2.9410288791916994e-05
0.00015852989532802832,0.004555203750828939,2.3441674211086863e-05
0.00016016148534706535,0.003967964963034113,1.99163049535405e-05
0.00016180986769403976,0.007045689173577919,4.347760225016148e-05
0.00016347521519562624,0.004688648875037189,1.8656234179001385e-05
0.00016515770245723212,0.003926717897951092,1.9304179816500276e-05
0.0001668575058813038,0.003925741577303393,1.341513252115874e-05
0.0001685748036858222,0.003911684117455307,1.6968605957802393e-05
